Chandrashekhar Patil Stadium, Kalaburgi | Basketball | Active: True | Logic: independent
Chandrashekhar Patil Stadium, Kalaburgi | Cricket | Active: True | Logic: independent
Chandrashekhar Patil Stadium, Kalaburgi | Dummy Divisible Court | Active: True | Logic: divisible
Chandrashekhar Patil Stadium, Kalaburgi | Dummy Divisible Court | Active: True | Logic: divisible
Chandrashekhar Patil Stadium, Kalaburgi | Football | Active: True | Logic: independent
Chandrashekhar Patil Stadium, Kalaburgi | Hockey | Active: True | Logic: independent
Chandrashekhar Patil Stadium, Kalaburgi | Judo | Active: True | Logic: independent
Chandrashekhar Patil Stadium, Kalaburgi | Kabaddi | Active: True | Logic: independent
Chandrashekhar Patil Stadium, Kalaburgi | Kho Kho | Active: True | Logic: independent
Chandrashekhar Patil Stadium, Kalaburgi | Volleyball | Active: True | Logic: independent
Chandrashekhar Patil Stadium, Kalaburgi | Walking | Active: False | Logic: independent
Omega Circuit By RUSH - Hyderabad  | Basketball - Omega cricuit HYD | Active: False | Logic: independent
Omega Circuit By RUSH - Hyderabad  | Boxcricket - Omega cricuit HYD | Active: False | Logic: independent
Omega Circuit By RUSH - Hyderabad  | Cricket Nets | Active: True | Logic: divisible
Omega Circuit By RUSH - Hyderabad  | Football - Omega circuit HYD | Active: False | Logic: divisible
Omega Circuit By RUSH - Hyderabad  | Main Turf (Football / Box Cricket) | Active: True | Logic: divisible
Omega Circuit By RUSH - Hyderabad  | Multi-Sport Court (Basketball / Pickleball) | Active: True | Logic: divisible
Omega Circuit By RUSH - Hyderabad  | Pickleball - Omega cricuit HYD | Active: False | Logic: independent
Omega Circuit By RUSH - Hyderabad  | Volleyball - Omega cricuit HYD | Active: False | Logic: independent
Omega Circuit By RUSH - Hyderabad  | Volleyball Court | Active: True | Logic: independent
Racquetly x Serve Society Padel Kormangala | Padel - Kormangala | Active: False | Logic: independent
Rush Arena - Gateway Office parks Chennai | 7 a side (1 turf) Cricket - Gateway Office | Active: False | Logic: independent
Rush Arena - Gateway Office parks Chennai | 7 a side (1 turf) Football - Gateway office | Active: False | Logic: divisible
Rush Arena - Gateway Office parks Chennai | Pickleball - Chennai | Active: True | Logic: divisible
Rush Arena - Gateway Office parks Chennai | Pickleball - Gateway office | Active: False | Logic: independent
Rush Arena - Gateway Office parks Chennai | Throwball - Gateway office | Active: False | Logic: independent
Rush Arena - Gateway Office parks Chennai | Volleyball - Gateway office | Active: False | Logic: independent
Rush Arena - Gunjur | 7 a side (1 turf) Cricket -  Gunjur | Active: False | Logic: independent
Rush Arena - Gunjur | 7 a side (1 turf) Football -  Gunjur | Active: False | Logic: divisible
Rush Arena - Gunjur | Cricket Nets - Gunjur | Active: False | Logic: independent
Rush Arena - Kasavanahalli | 6 a side (1 turf) Boxcricket - Kasavanahalli | Active: False | Logic: independent
Rush Arena - Kasavanahalli | Cricket Nets | Active: True | Logic: divisible
Rush Arena - Kasavanahalli | Main Turf (Football / Box Cricket) | Active: True | Logic: divisible
Rush Arena - Kengeri | 10 a side (1 turf) Cricket - Kengeri | Active: False | Logic: independent
Rush Arena - Kengeri | 10 a side (1 turf) Football - Kengeri | Active: False | Logic: divisible
Rush Arena - Kengeri | Basketball - Kengeri | Active: False | Logic: independent
Rush Arena - Kengeri | Cricket nets Astroturf - Kengeri | Active: True | Logic: independent
Rush Arena - Kengeri | Skating rink - Kengeri | Active: True | Logic: independent
Rush Arena - Kengeri | Swimminng - Kengeri | Active: False | Logic: independent
Rush Arena - Kengeri | Volleyball - Kengeri | Active: True | Logic: independent
Rush Arena - Rajajinagar  | Box Cricket | Active: True | Logic: shared
Rush Arena - Rajajinagar  | Football - Rajajinagar | Active: True | Logic: shared
Rush Arena BCU  | Pickleball - BCU | Active: False | Logic: independent
Rush Arena BCU  | Pickleball Courts (1-4) | Active: True | Logic: divisible
Rush Arena Cooke Town | 10 a side Boxcricket - Cooke Town | Active: False | Logic: independent
Rush Arena Cooke Town | Main Turf (Football / Box Cricket) | Active: True | Logic: divisible
Rush Arena Cooke Town | Pickleball - Cooke Town | Active: True | Logic: divisible
Rush Arena Malleshwaram | 5 a side Boxcricket -  Malleshwaram | Active: False | Logic: independent
Rush Arena Malleshwaram | 5 a side Football - Malleshwaram | Active: False | Logic: divisible
Rush Arena Malleshwaram | Main Turf (Football / Box Cricket) | Active: True | Logic: divisible
Rush Arena Malleshwaram | Pickleball - Malleshwaram | Active: True | Logic: divisible
Rush Arena Malleshwaram | Pickleball - Malleshwaram | Active: False | Logic: independent
Rush Arena Railways | Boxcricket - Railways | Active: False | Logic: divisible
Rush Arena Railways | cricket - Rush Arena Railways | Active: False | Logic: divisible
Rush Arena Railways | Cricket Ground (11 a side) | Active: True | Logic: independent
